Paper#Ref;Input Modalities > Image;Input Modalities > Timestamp;Input Modalities > Geolocation;Input Modalities > Text;Input Modalities > Other;Image Representation > Deep Learning-Based Image Features;Image Representation > Traditional Image Features;Image Representation > None;Summarization > Aggregation;Summarization > Subsampling;Summarization > Filtering;Summarization > Spatial Arrangement;Summarizing Entities > Representative Images;Summarizing Entities > Marks;Summarizing Entities > Captions and Tags;Summarizing Entities > Numerical Statistics;Input for Position in Visualization > Single Attribute;Input for Position in Visualization > Two Attributes;Input for Position in Visualization > More Attributes;Input for Position in Visualization > Distance;Input for Position in Visualization > Geography;Input for Position in Visualization > Topology;Input for Position in Visualization > None / fixed Visualization;Goal > Explore;Goal > Confirm;Goal > Present;Goal > Produce;Interactions > Select;Interactions > Navigate;Interactions > Reconfigure;Interactions > Encode;Interactions > Show Details / Show Context;Interactions > Filter;Interactions > None;Evaluation > Algorithmic Performance;Evaluation > User Experience and Performance;Evaluation > Qualitative Results Inspection;Evaluation > Case Study;Evaluation > None;Set Size - Claimed > Tens;Set Size - Claimed > Hundreds;Set Size - Claimed > Thousands;Set Size - Claimed > Tens of Thousands;Set Size - Claimed > Hundreds of Thousands;Set Size - Claimed > Millions or More;Set Size - Claimed > Not Specified;Set Size - Confirmed > Tens;Set Size - Confirmed > Hundreds;Set Size - Confirmed > Thousands;Set Size - Confirmed > Tens of Thousands;Set Size - Confirmed > Hundreds of Thousands;Set Size - Confirmed > Millions or More;Set Size - Confirmed > Not Specified;Unnamed: 54
radiano_story_2018#http://zotero.org/groups/3431/items/5YR9NTR2;1;1;1;1;1;2;2;0;0;0;3;0;4;0;4;0;0;0;0;0;0;5;0;0;0;6;0;0;0;0;0;0;0;7;0;8;0;0;0;0;9;0;0;0;0;0;0;10;0;0;0;0;0;
van_der_corput_comparing_2017#http://zotero.org/groups/3431/items/EEELP2V2;1;1;1;1;1;2;0;0;3;0;0;0;4;4;0;0;5;5;0;0;5;0;5;6;6;0;0;7;7;7;7;7;7;0;0;8;0;0;0;0;0;0;0;0;9;0;0;0;0;0;10;0;0;
celikkale_generating_2021#http://zotero.org/groups/3431/items/CMMBXLJF;1;1;1;1;0;2;0;0;3;0;3;0;4;4;0;0;0;5;0;0;5;0;0;0;0;6;0;0;0;0;0;0;0;7;8;8;0;0;0;0;0;0;9;0;0;0;0;10;0;0;0;0;0;
crissaff_aries_2018#http://zotero.org/groups/3431/items/W32DLE9P;1;1;1;1;0;0;0;2;3;0;3;0;4;4;0;0;5;5;0;0;5;0;0;6;6;0;6;7;0;7;0;7;0;0;0;0;0;8;0;0;0;0;0;0;0;9;0;0;0;0;0;0;10;
fang_narrative_2018#http://zotero.org/groups/3431/items/9Q6KU7FV;1;1;1;0;0;2;2;0;3;0;3;0;4;0;0;0;5;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;7;0;8;8;0;0;0;9;0;0;0;0;0;0;10;0;0;0;0;0;
gu_visualization_2017#http://zotero.org/groups/3431/items/7XM9ZI4S;1;1;0;1;0;0;2;0;3;0;3;3;4;4;4;0;0;0;0;5;0;5;0;6;6;0;0;7;0;0;7;7;7;0;8;8;8;0;0;0;0;0;9;0;0;0;0;0;0;10;0;0;0;
ryu_summarized_2014#http://zotero.org/groups/3431/items/VUKTFF64;1;1;0;0;0;0;2;0;3;0;3;0;4;0;0;0;5;0;0;0;0;5;5;0;0;6;6;0;0;0;0;0;0;7;8;0;0;0;0;0;9;0;0;0;0;0;0;10;0;0;0;0;0;
rudinac_learning_2013#http://zotero.org/groups/3431/items/PECZIRJ3;1;0;1;1;1;0;2;0;3;0;3;0;4;0;0;0;0;0;0;0;0;0;5;0;0;6;0;0;0;0;0;0;0;7;8;0;0;0;0;0;9;0;0;0;0;0;0;10;0;0;0;0;0;
bertucci_dendromap_2023#http://zotero.org/groups/3431/items/C9ZFYC3Y;1;0;0;1;0;2;0;0;3;3;0;0;4;4;0;4;5;0;0;0;0;5;0;6;6;0;0;7;7;0;0;7;7;0;8;8;8;0;0;0;0;0;9;0;0;0;0;0;0;10;0;0;0;
camargo_kernel-based_2013#http://zotero.org/groups/3431/items/5TRRFRRV;1;0;0;1;0;0;2;0;3;0;3;3;4;0;0;0;0;0;0;5;0;0;0;6;0;0;0;7;0;0;0;0;7;0;8;8;0;0;0;0;0;9;0;0;0;0;0;0;10;0;0;0;0;
